Q Value,Bot1 Result,Bot1 Position,Bot2 Result,Bot2 Position,Bot3 Result,Bot3 Position,Bot4 Result,Bot4 Position,Button Position,Fire Position
0.6,Success,"(1, 8)",Success,"(1, 8)",Success,"(1, 8)",Success,"(1, 8)","(9, 14)","(31, 26)"
0.6,Success,"(12, 18)",Success,"(12, 18)",Success,"(12, 18)",Success,"(12, 18)","(11, 6)","(16, 23)"
0.6,Success,"(22, 25)",Success,"(22, 25)",Success,"(22, 25)",Success,"(22, 25)","(4, 15)","(1, 29)"
0.6,Failure,"(19, 12)",Failure,"(19, 12)",Failure,"(19, 12)",Failure,"(19, 12)","(5, 7)","(21, 26)"
0.7,Success,"(11, 10)",Success,"(11, 10)",Success,"(11, 10)",Success,"(11, 10)","(6, 26)","(29, 13)"
0.7,Success,"(25, 9)",Success,"(25, 9)",Success,"(25, 9)",Success,"(25, 9)","(6, 8)","(8, 30)"
0.7,Success,"(23, 21)",Success,"(23, 21)",Success,"(23, 21)",Success,"(23, 21)","(18, 16)","(20, 34)"
0.7,Failure,"(37, 16)",Success,"(37, 16)",Failure,"(37, 16)",Success,"(37, 16)","(3, 34)","(14, 4)"
0.7,Success,"(28, 5)",Success,"(28, 5)",Success,"(28, 5)",Success,"(28, 5)","(14, 8)","(15, 26)"
0.7,Failure,"(24, 38)",Failure,"(24, 38)",Failure,"(24, 38)",Failure,"(24, 38)","(6, 20)","(28, 15)"
0.7,Success,"(2, 20)",Success,"(2, 20)",Success,"(2, 20)",Success,"(2, 20)","(16, 21)","(36, 33)"
0.7,Failure,"(4, 11)",Failure,"(4, 11)",Failure,"(4, 11)",Failure,"(4, 11)","(21, 10)","(26, 9)"
0.7,Success,"(15, 16)",Success,"(15, 16)",Success,"(15, 16)",Success,"(15, 16)","(36, 4)","(1, 23)"
0.7,Success,"(37, 7)",Success,"(37, 7)",Success,"(37, 7)",Success,"(37, 7)","(35, 27)","(10, 21)"
0.7,Success,"(29, 2)",Success,"(29, 2)",Success,"(29, 2)",Success,"(29, 2)","(20, 4)","(6, 17)"
0.7,Success,"(31, 38)",Success,"(31, 38)",Success,"(31, 38)",Success,"(31, 38)","(33, 38)","(26, 28)"
0.7,Failure,"(33, 12)",Failure,"(33, 12)",Failure,"(33, 12)",Failure,"(33, 12)","(24, 17)","(32, 15)"
0.7,Success,"(10, 16)",Success,"(10, 16)",Success,"(10, 16)",Success,"(10, 16)","(38, 28)","(28, 16)"
0.7,Success,"(6, 7)",Success,"(6, 7)",Failure,"(6, 7)",Success,"(6, 7)","(1, 22)","(30, 13)"
0.7,Success,"(7, 35)",Success,"(7, 35)",Success,"(7, 35)",Success,"(7, 35)","(12, 28)","(19, 7)"
0.7,Failure,"(22, 4)",Failure,"(22, 4)",Failure,"(22, 4)",Success,"(22, 4)","(36, 13)","(20, 9)"
0.7,Failure,"(11, 35)",Failure,"(11, 35)",Failure,"(11, 35)",Failure,"(11, 35)","(2, 12)","(21, 34)"
0.7,Failure,"(10, 32)",Failure,"(10, 32)",Failure,"(10, 32)",Failure,"(10, 32)","(11, 10)","(7, 22)"
